year,party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc,seats_pr_sl,seats_mmp_mod,seats_pr_sl_pc,seats_mmp_mod_pc
1991,Gano Azadi League (Samad),1314,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Janasakti Party,1263,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Nezam-e-Islam Party,1236,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Islamic Samajtantrik Dal Bangladesh,1039,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Freedom League,1034,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Peoples Democratic Party,879,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh People's League (Goariobi Newaz),742,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Mukti Dal,723,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Jana Parishad,686,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Muslim Peoples Party,515,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Krishak Sramik Mukti Andolan,503,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh National Hindu Party,502,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiyatabadi Ganatantrik Dal,496,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Democratic League,453,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Humanitarian Organization for the Prevention of Smoking and Drug Abuse,453,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Tarun Sangha,417,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Labour Party,318,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Manobatabadi Dal,294,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Ideal Party,251,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,National Awami Party (Sadequr Rahman),248,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Khilafat Party,241,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Islamic Biplobi Parishad,214,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Islami Front,202,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Bekar Samaj,182,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Adarsha Krishak Dal,154,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Islamic Revolutionary Party,138,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Bekar Party,39,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Sramajibi Party,28,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,NAP (Bhashani),27,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Jatiya People's Party,25,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Independents,1497369,4.39,3,13,3,1.0,4.33,0.86,13,3,4.33,0.86
