year,party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc
1996,Ganotantrik Sarbahara Party,502,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Jatiya League (Sobhan),418,0.0,0,0,0,0.0,0.0,0.0
1996,Jana Dal,395,0.0,0,0,0,0.0,0.0,0.0
1996,Jatiya Samajtantrik Dal (Mahiuddin),393,0.0,0,0,0,0.0,0.0,0.0
1996,Jatiya Seba Dal,365,0.0,0,0,0,0.0,0.0,0.0
1996,NDP,353,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Krisak Sramik Janata Party,294,0.0,0,0,0,0.0,0.0,0.0
1996,Islami Al Zihad Dal,288,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Sarbahara Party,248,0.0,0,0,0,0.0,0.0,0.0
1996,Jatiya Daridra Party,244,0.0,0,0,0,0.0,0.0,0.0
1996,Sramajibi Oikya Forum,229,0.0,0,0,0,0.0,0.0,0.0
1996,Islamic Dal Bangladesh (Saifur),221,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh People's League,213,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Samajtantrik Samsad (Darshan Shava),209,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Krishak Sramik Mukti Andolon,189,0.0,0,0,0,0.0,0.0,0.0
1996,Gano Oikkya Front (Guff),186,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Mehanati Front,173,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Tafsili Federation (Sudir),150,0.0,0,0,0,0.0,0.0,0.0
1996,People's Muslim League,140,0.0,0,0,0,0.0,0.0,0.0
1996,NAP (Bhashani),138,0.0,0,0,0,0.0,0.0,0.0
1996,Quran Dorshion Sangshta Bangladesh,137,0.0,0,0,0,0.0,0.0,0.0
1996,Progatishil Gonotantrik Shakti,134,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Islami Party,132,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Jatiya Agragati Party,131,0.0,0,0,0,0.0,0.0,0.0
1996,Oikya Prokria,112,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Bashani Adarsha Bastabayan Parishad,107,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Bastuhara Parishad,105,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh National Congress,99,0.0,0,0,0,0.0,0.0,0.0
1996,Quran Sunna Bastabayan Party,82,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Tanjimul Muslimin,81,0.0,0,0,0,0.0,0.0,0.0
1996,Samridhya Bangladesh Babosai Samproday,48,0.0,0,0,0,0.0,0.0,0.0
1996,Bashani Front,45,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Krishak Raj Islami Party,33,0.0,0,0,0,0.0,0.0,0.0
1996,National Patriotic Party,31,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Islami Biplobi Parishad,29,0.0,0,0,0,0.0,0.0,0.0
1996,Taherikay Olama-e-Bangladesh,29,0.0,0,0,0,0.0,0.0,0.0
1996,United Peoples' Party,26,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Manabodjikar Dal,20,0.0,0,0,0,0.0,0.0,0.0
1996,Independents,449618,1.06,1,3,1,0.33,1.0,0.29
